first_set_11_15,first_set_15_19,second_set_11_15,second_set_15_19,final_set_11_15,final_set_15_19,head_to_head,venue,ranking_seed,recent_match_won,win_loss
-2,-2,6,9,1,3,1,0,-22,-2,1
8,8,-3,-1,-2,3,4,0,-8,1,1
5,6,1,4,0,0,0,0,-89,4,1
2,3,-1,2,0,0,-1,0,-3,0,1
4,5,-1,-3,9,7,2,0,-23,2,1
4,6,-2,3,0,0,0,0,7,1,1
-2,-3,-3,3,6,1,1,0,23,0,1
1,2,4,8,0,0,0,0,27,0,1
4,1,-5,-7,1,3,-2,0,2,-4,1
3,1,-3,-4,5,5,2,0,-17,0,1
8,8,3,4,0,0,2,0,-14,1,1
5,5,5,4,0,0,4,0,-13,-1,1
10,12,5,4,0,0,0,0,-130,-2,1
4,4,10,10,0,0,1,1,-15,1,1
-5,-4,2,4,3,1,1,1,-9,1,1
5,5,-2,2,0,0,0,1,-31,0,1
5,7,7,7,0,0,4,0,2,-1,1
5,7,-1,-3,0,0,0,1,-1,-4,1
-6,-7,-5,2,1,1,0,0,38,1,1
3,7,5,5,0,0,-2,0,-47,-2,1
10,10,4,5,0,0,0,1,-77,0,1
-2,1,5,6,0,0,0,-1,-15,2,1
2,3,6,10,0,0,0,0,-5,2,1
4,5,3,5,0,0,0,0,-29,-3,1
5,7,5,9,0,0,1,0,-16,4,1
-1,1,-4,-3,4,2,0,0,-10,0,1
7,8,-3,-4,7,7,3,1,-40,2,1
5,5,6,8,0,0,4,1,-14,-2,1
3,6,-7,-8,2,3,0,1,-4,0,1
5,6,8,6,0,0,0,1,-37,2,1
11,12,2,2,0,0,5,0,-9,2,1
10,13,9,12,0,0,0,0,-9,1,1
8,12,6,6,0,0,0,1,-11,1,1
9,12,8,10,0,0,0,0,-31,-3,1
9,10,11,11,0,0,0,0,-108,5,1
3,6,3,7,0,0,0,0,-8,3,1
-6,-3,-2,-1,0,0,-1,-1,4,2,1
8,10,7,10,0,0,0,0,59,-3,1
2,-4,6,9,1,-2,0,0,-10,-1,1
6,9,6,9,0,0,0,0,-84,2,1
6,7,5,-1,9,10,9,0,-46,3,1
2,4,5,3,0,0,0,0,12,1,1
-5,-4,2,3,4,5,0,-1,-14,0,1
3,6,4,4,0,0,3,0,8,-2,1
6,10,1,-1,0,0,5,0,4,-1,1
6,7,1,1,0,0,0,0,6,-3,1
-1,-4,3,1,-4,-3,-4,0,9,0,1
4,6,-5,-6,6,10,1,1,-1,0,1
6,10,6,8,0,0,2,0,-76,1,1
9,5,6,6,0,0,5,0,-8,3,1
-3,4,12,12,0,0,0,0,-41,0,1
6,6,9,11,0,0,0,0,-8,2,1
3,1,10,7,0,0,0,0,-31,1,1
9,9,6,10,0,0,0,0,-13,1,1
9,12,5,8,0,0,0,0,-39,1,1
4,5,-3,-5,1,4,0,0,14,2,1
8,11,3,1,0,0,0,0,-40,-2,1
1,3,9,8,0,0,-2,0,-8,-2,1
13,13,13,15,0,0,0,1,-92,0,1
-3,-1,4,5,0,0,1,0,-36,-3,1
12,13,3,8,0,0,0,0,-18,3,1
5,6,3,1,0,0,2,-1,-8,1,1
-1,-2,7,8,2,5,1,0,-4,3,1
3,4,7,8,0,0,0,0,-45,-2,1
3,5,7,9,0,0,0,0,-43,1,1
9,7,3,4,0,0,-4,0,8,-1,1
1,1,5,9,0,0,0,0,-70,1,1
11,13,6,5,0,0,0,0,-27,1,1
8,8,5,6,0,0,0,0,-47,0,1
5,8,10,12,0,0,2,0,-63,1,1
-3,-1,10,12,-2,3,0,0,-7,0,1
6,8,3,4,0,0,0,0,-26,2,1
7,10,7,9,0,0,7,0,-7,1,1
-1,2,4,5,0,0,2,0,-12,1,1
3,2,6,4,0,0,3,0,-2,-1,1
4,6,7,10,0,0,0,1,-23,1,1
3,5,6,7,0,0,3,1,-11,-2,1
2,2,7,9,0,0,0,1,-38,2,1
2,-1,5,7,11,9,0,0,-4,1,1
5,4,2,2,0,0,7,0,-1,1,1
9,12,-5,-7,3,4,0,0,-32,2,1
3,4,12,16,0,0,-1,0,-10,4,1
6,7,2,5,0,0,0,0,-55,0,1
5,6,5,6,0,0,2,0,-13,5,1
10,14,11,15,0,0,0,0,-55,0,1
9,11,2,-2,0,0,-1,0,16,0,1
-10,-11,3,4,4,4,0,0,24,0,1
-1,2,5,7,10,13,2,0,32,-4,1
1,5,4,-2,8,12,1,0,-6,-2,1
7,10,2,4,0,0,0,0,-23,2,1
5,8,7,6,0,0,0,0,-11,3,1
4,6,7,9,0,0,1,0,-19,-2,1
10,9,2,2,0,0,0,1,-41,2,1
8,11,-1,4,0,0,4,1,-9,0,1
2,4,-3,1,0,0,2,1,1,1,1
9,13,8,7,0,0,0,0,-7,0,1
8,9,7,7,0,0,0,0,-16,2,1
2,6,11,12,0,0,2,0,-115,1,1
4,7,2,3,0,0,0,0,-5,1,1
-6,-9,2,4,3,5,2,0,-18,0,1
5,7,5,8,0,0,0,0,-98,0,1
3,2,9,9,0,0,0,0,-49,3,1
5,3,-4,-5,-3,1,0,0,-3,3,1
-6,-6,3,4,5,5,0,0,25,0,1
10,12,10,13,0,0,0,0,-39,2,1
4,6,7,8,0,0,0,0,28,0,1
6,9,5,6,0,0,0,0,-62,0,1
7,6,-4,-2,2,-1,2,0,-10,-2,1
5,8,-9,-9,5,9,0,0,-5,-4,1
4,7,4,3,0,0,0,0,-30,-2,1
3,-1,-3,-3,6,9,0,1,-22,0,1
3,1,10,13,0,0,0,0,-218,3,1
8,9,8,9,0,0,0,0,-39,-2,1
9,3,4,5,0,0,0,-1,-3,1,1
8,11,-4,1,0,0,2,0,-8,1,1
9,9,8,11,0,0,0,0,-2,-1,1
-4,1,-5,-8,4,7,0,0,6,0,1
8,10,-4,-4,3,4,0,1,-46,2,1
-5,-6,-1,3,4,6,2,1,-14,2,1
5,6,-3,2,0,0,3,1,-4,1,1
9,13,12,13,0,0,1,1,-1,2,1
6,1,-3,-2,0,0,0,0,-79,3,1
10,13,10,13,0,0,0,0,-139,-1,1
8,11,11,14,0,0,0,0,-258,0,1
-3,-6,-3,3,5,7,-4,0,4,-3,1
8,8,10,13,0,0,0,0,-18,3,1
-7,-7,-3,-5,0,0,0,0,50,2,0
8,9,7,6,0,0,0,0,-17,0,1
5,7,2,5,0,0,0,0,38,3,1
6,7,6,4,0,0,1,0,-8,0,1
5,7,9,12,0,0,0,0,-111,1,1
5,5,9,10,0,0,0,0,-36,0,1
11,14,4,8,0,0,0,0,-279,0,1
9,10,-3,1,0,0,0,0,-71,2,1
3,3,9,6,0,0,0,0,-62,1,1
10,13,10,12,0,0,0,0,-126,2,1
6,7,-6,-10,-4,-3,5,0,-8,1,1
1,4,9,13,0,0,0,0,-72,3,1
5,9,8,8,0,0,0,0,-58,-1,1
6,10,9,13,0,0,0,0,-91,3,1
11,14,12,14,0,0,0,0,-67,-1,1
5,6,8,11,0,0,0,0,-80,4,1
6,9,11,12,0,0,0,0,-222,0,1
1,1,-1,1,5,9,6,0,-25,3,1
6,8,-10,-11,-3,-3,0,0,-60,0,0
7,3,6,3,0,0,-4,0,-12,0,1
2,-1,4,7,6,8,0,0,26,-1,1
7,11,5,7,0,0,0,0,-695,0,1
6,9,2,5,0,0,0,1,-52,-1,1
6,7,-3,-6,8,10,2,1,-30,2,1
5,7,4,1,0,0,2,1,-59,-2,1
6,6,3,7,0,0,0,1,56,-1,1
5,7,10,11,0,0,-2,1,-52,0,1
11,12,1,3,0,0,4,1,-22,-1,1
5,8,5,6,0,0,0,1,-79,0,1
10,8,4,7,0,0,0,1,-250,0,1
8,8,7,6,0,0,0,1,-719,1,1
3,5,5,8,0,0,0,0,-55,3,1
5,7,11,13,0,0,0,0,-47,-3,1
1,2,-1,4,0,0,0,0,178,1,1
1,-1,3,7,5,3,0,0,188,-1,1
3,-2,12,12,8,9,-3,-1,-3,4,1
8,9,2,2,-8,-10,-4,-1,12,-1,0
3,2,1,-2,0,0,0,-1,23,-1,1
3,7,9,12,0,0,0,0,-30,0,1
7,6,3,2,0,0,0,0,-35,-3,1
1,-2,4,7,1,1,0,0,49,0,1
-6,-3,-9,-12,0,0,0,0,667,-1,0
5,8,7,10,0,0,0,0,-49,1,1
7,8,6,9,0,0,0,0,-103,-1,1
10,13,10,13,0,0,0,0,259,2,1
13,16,12,15,0,0,0,0,5,-1,1
3,7,3,-1,6,7,1,0,-5,-1,1
1,-2,3,7,7,5,2,0,-14,1,1
5,5,-5,-5,13,14,3,0,-28,3,1
2,4,1,2,0,0,2,0,-207,2,1
1,2,3,6,0,0,0,0,-36,2,1
4,5,-1,2,0,0,0,0,-183,1,1
4,1,7,11,0,0,0,0,-46,1,1
8,5,4,7,0,0,2,0,-14,-1,1
7,11,2,-3,8,10,0,0,59,0,1
4,7,7,11,0,0,0,0,258,2,1
6,8,7,10,0,0,2,0,-9,0,1
1,-2,-2,-1,0,0,0,0,-13,-1,0
3,5,5,6,0,0,0,0,-11,1,1
-1,4,8,9,0,0,0,0,305,1,1
6,1,5,5,0,0,0,0,-43,3,1
12,15,-3,1,0,0,0,0,-162,-1,1
11,13,7,10,0,0,0,0,1,0,1
3,6,8,11,0,0,0,0,91,1,1
6,6,7,7,0,0,0,0,-146,-1,1
-2,-2,8,11,0,0,0,0,148,1,1
7,11,10,11,0,0,0,0,-135,1,1
10,12,6,8,0,0,0,0,220,-1,1
13,10,11,7,0,0,0,0,49,5,1
10,10,-5,-4,-5,-8,2,0,4,-1,0
-4,1,1,4,0,0,-4,0,7,2,1
2,2,-1,-4,10,9,0,0,-258,-4,1
4,3,2,1,-4,-7,-6,0,20,0,0
-5,-1,4,1,6,6,2,0,-25,2,1
-7,-11,2,5,-8,-7,-1,0,-22,2,0
2,4,6,9,0,0,0,0,-98,0,1
5,6,5,8,0,0,1,0,-10,1,1
10,13,7,7,0,0,0,0,-117,-1,1
9,12,11,10,0,0,0,0,-124,2,1
6,6,10,11,0,0,0,0,-105,0,1
10,10,3,5,0,0,3,0,-29,3,1
5,6,5,5,0,0,-1,0,-5,-1,1
-3,-1,-4,-4,0,0,3,0,-6,-1,0
5,8,10,12,0,0,0,0,249,-1,1
3,5,-7,-5,1,-3,1,0,154,5,0
11,13,15,19,0,0,0,0,-124,-3,1
8,10,1,2,0,0,0,0,-6,-4,1
-3,-4,-1,3,7,9,0,0,-125,0,1
-7,-4,5,6,11,13,0,0,-125,0,1
2,-1,5,6,-10,-11,3,0,-12,1,0
8,9,5,7,0,0,4,0,-19,-2,1
5,8,6,9,0,0,0,0,3,-2,1
10,13,8,10,0,0,2,0,199,3,1
-8,-5,-5,-7,0,0,0,0,-6,3,0
2,6,2,1,3,5,0,0,-30,-2,1
5,8,2,1,6,10,0,0,452,2,1
9,11,11,14,0,0,6,1,-30,0,1
-9,-10,2,-3,0,0,-4,1,2,0,0
-7,-11,-1,-1,0,0,1,1,-27,-1,0
4,1,9,10,0,0,0,1,86,-1,1
9,12,11,13,0,0,0,1,-56,1,1
1,-1,-1,-3,0,0,-2,0,1,-1,0
8,9,-2,2,0,0,4,0,-24,5,1
5,8,8,10,0,0,6,0,-17,0,1
6,7,5,8,0,0,0,0,-162,2,1
6,9,4,6,0,0,2,0,-6,1,1
11,12,3,7,0,0,-2,0,-10,-2,1
7,9,-1,-5,10,7,2,0,-35,2,1
-4,-5,6,10,7,8,-6,1,-1,-3,1
2,-2,-1,2,0,0,-8,1,7,1,0
4,-2,-3,3,5,7,0,1,-21,0,1
-2,-2,-3,-5,1,-2,0,1,-163,0,0
5,9,10,13,0,0,-7,1,-210,-4,1
1,4,3,2,0,0,3,-1,-2,3,1
7,10,9,10,0,0,4,-1,-5,-1,1
5,9,2,4,0,0,0,0,9,1,1
-2,-1,1,-2,0,0,-4,0,52,0,0
-2,-1,-4,-5,0,0,-2,0,-19,4,0
13,15,3,4,0,0,0,0,-87,1,1
10,14,7,4,0,0,4,0,-21,2,1
10,12,8,4,0,0,2,0,-26,2,1
-2,-6,-5,-4,0,0,2,0,-44,0,0
-1,2,7,6,0,0,0,0,-13,1,1
10,12,11,11,0,0,0,0,-25,1,1
7,10,-1,-5,1,2,-2,0,-18,4,0
-5,-5,9,9,0,0,2,0,-36,4,1
2,3,7,7,0,0,8,0,-7,3,1
9,11,4,2,0,0,5,0,-18,4,1
10,13,9,6,0,0,2,0,-139,2,1
11,13,9,8,0,0,0,0,-56,1,1
3,3,1,2,0,0,0,0,-29,-3,1
1,-2,1,-3,0,0,2,0,9,4,0
-7,-8,6,8,-2,-4,-2,0,57,-2,0
-8,-9,4,1,-4,-7,0,0,26,-4,0
-5,-9,-4,2,1,1,-1,0,13,-2,1
8,9,-4,-2,6,8,0,0,17,2,1
-7,-11,-2,-6,0,0,1,0,1,-1,0
-9,-6,-5,-5,0,0,2,0,11,-4,0
2,2,5,6,0,0,5,0,-12,-1,1
3,7,3,3,0,0,1,0,-49,0,1
-2,-1,-2,-1,10,14,8,0,-29,4,1
-7,-6,-7,-8,0,0,2,0,121,0,0
3,4,6,6,0,0,3,0,-12,-1,1
10,8,4,3,0,0,0,0,-60,-1,1
9,12,4,7,0,0,0,0,65,4,1
-2,-3,4,5,-1,-4,0,0,32,-3,0
11,15,9,8,0,0,2,0,-6,5,1
-2,1,4,8,0,0,0,0,-165,3,1
-7,-5,-6,-7,0,0,0,0,-85,-2,0
-7,-8,3,4,8,8,0,0,94,0,1
4,7,3,3,0,0,0,0,-19,3,1
-7,-9,-2,-1,0,0,0,0,88,2,0
5,5,1,2,6,6,3,1,-32,3,1
1,-2,8,8,-2,-2,4,1,-16,0,1
7,7,7,11,0,0,2,1,-19,2,1
1,4,11,11,0,0,0,1,-10,1,1
2,4,10,10,0,0,1,1,-37,1,1
2,5,2,-2,-2,-3,-3,0,-11,2,0
5,6,7,4,0,0,0,0,7,0,1
-8,-8,-8,-11,0,0,-2,0,18,-1,0
7,11,-6,-4,0,0,0,0,-8,0,1
10,14,6,10,0,0,2,1,-28,3,1
-3,2,2,3,0,0,2,1,-10,0,1
-7,-7,5,5,3,5,0,1,-12,2,1
6,8,5,3,0,0,2,1,-5,3,1
8,8,3,5,0,0,2,1,-20,5,1
-4,-8,-4,-4,0,0,1,1,-2,-1,0
4,3,3,4,0,0,3,1,-4,0,1
5,3,3,4,0,0,4,1,-13,-2,1
1,3,4,1,0,0,-3,0,-3,3,1
1,4,4,4,0,0,0,0,-29,-1,1
6,6,4,2,0,0,0,0,-87,-3,1
-6,-8,3,-1,3,-1,-4,0,-18,1,1
2,3,5,6,0,0,9,0,-34,2,1
2,5,4,6,0,0,2,0,-20,3,1
3,4,4,5,0,0,2,0,-126,2,1
-3,-5,-1,-5,0,0,-2,0,14,-3,0
-10,-9,-9,-7,0,0,7,0,-6,2,0
6,9,11,12,0,0,0,0,-146,0,1
1,4,10,12,0,0,4,1,-3,0,1
3,5,1,2,0,0,2,1,-16,4,1
-7,-7,-2,-2,0,0,-2,0,2,-1,0
6,7,5,6,0,0,3,0,-10,3,1
4,3,3,1,0,0,0,0,-6,3,1
8,5,3,2,0,0,4,0,-1,2,1
2,1,7,9,0,0,-3,1,-2,-2,1
4,-2,4,4,2,3,1,1,-1,-2,1
-4,-8,11,14,11,11,-4,1,1,-1,1
8,10,10,12,0,0,2,0,-103,3,1
10,12,9,13,0,0,0,0,-86,5,1
1,2,9,8,0,0,7,0,-29,5,1
3,7,9,11,0,0,4,0,-13,2,1
5,7,10,11,0,0,2,0,-15,5,1
7,11,12,16,0,0,3,0,-4,3,1
8,10,10,12,0,0,2,0,-23,0,1
-3,-7,6,9,7,9,10,0,-48,-4,1
-3,-5,9,11,5,8,0,0,-63,0,1
9,9,-6,-6,9,13,-2,0,19,-1,1
6,10,4,5,0,0,0,0,-75,0,1
1,3,-7,-9,4,4,2,0,-20,1,1
10,13,6,5,0,0,0,0,-90,1,1
4,3,3,6,0,0,2,0,-41,-2,1
-5,-7,3,5,4,8,0,0,-7,3,1
2,6,-13,-15,2,2,2,0,6,1,1
6,8,2,5,0,0,0,0,-63,-2,1
5,6,4,5,0,0,1,0,-38,4,1
7,7,-1,3,0,0,-5,0,-42,0,1
5,7,1,3,0,0,1,0,-16,1,1
5,6,9,8,0,0,0,0,-69,4,1
1,2,13,8,0,0,0,0,-115,-2,1
8,8,10,6,0,0,1,0,5,2,1
7,4,7,5,0,0,0,0,-149,1,1
8,8,5,5,0,0,2,0,-56,2,1
-7,-9,7,8,6,5,-2,0,-28,0,1
8,3,6,6,0,0,0,0,-50,-3,1
2,3,3,5,0,0,1,0,-22,0,1
-1,-2,3,7,0,0,0,0,10,-2,1
-1,2,7,5,0,0,-2,0,12,-4,1
5,9,8,10,0,0,0,0,-121,0,1
4,6,9,9,0,0,-2,0,7,-1,1
-2,1,12,14,0,0,2,0,-47,1,1
9,10,12,16,0,0,0,0,-83,1,1
4,2,3,6,0,0,1,0,7,-2,1
6,5,4,6,0,0,0,0,-31,2,1
10,4,2,1,0,0,5,0,-8,-1,1
1,-1,9,11,0,0,-9,0,2,2,1
3,5,8,9,0,0,4,0,-7,2,1
7,11,2,2,0,0,0,0,-45,1,1
1,-2,10,13,5,6,0,0,-96,3,1
2,6,8,10,0,0,0,0,-71,1,1
5,6,4,6,0,0,-2,0,3,0,1
7,7,1,3,0,0,2,0,-60,0,1
1,3,5,5,0,0,2,0,-23,0,1
7,6,-2,-4,-1,3,1,0,-6,-4,1
5,-2,7,7,2,6,3,0,4,0,1
5,7,3,2,0,0,1,0,-20,0,1
10,11,7,9,0,0,0,0,-87,0,1
5,7,6,6,0,0,0,0,5,-1,1
6,7,-8,-9,5,5,-5,0,10,-5,1
1,4,1,-2,0,0,0,0,-77,-1,1
6,-2,2,3,11,13,2,0,-74,-2,1
-5,-7,6,7,10,7,0,0,-37,1,1
2,2,8,12,0,0,2,0,-40,-3,1
-8,-10,6,8,5,9,-4,0,24,5,1
-5,-1,5,9,8,8,-1,0,-18,5,1
4,3,-3,-2,0,0,-9,0,22,0,1
6,4,-3,-2,2,5,7,0,-25,5,1
7,6,9,9,0,0,0,0,-114,5,1
6,7,-6,-1,5,3,0,0,-18,0,1
7,7,6,9,9,9,0,0,-25,2,1
9,8,1,2,0,0,-3,0,31,0,1
6,8,-2,-5,5,6,0,0,-40,3,1
5,7,5,8,0,0,0,0,12,2,1
5,7,-2,-6,10,10,0,0,57,2,1
1,1,4,7,0,0,9,0,-13,3,1
1,-3,2,-2,9,10,8,0,-7,4,1
6,7,5,5,0,0,2,0,-25,-1,1
6,10,3,6,0,0,0,0,-49,1,1
6,5,8,11,0,0,-2,0,-5,0,1
5,7,5,8,0,0,0,0,-41,0,1
3,7,4,7,0,0,8,0,-30,4,1
1,2,9,6,0,0,5,0,-7,3,1
12,13,2,5,0,0,5,0,-3,3,1
3,-2,-1,1,5,4,1,0,-4,0,1
7,10,12,13,0,0,10,0,-32,1,1
1,3,5,9,0,0,2,0,-26,-2,1
7,6,-1,-4,8,9,10,0,-18,1,1
3,2,4,5,0,0,0,0,-7,0,1
7,8,7,10,0,0,0,0,-2,-2,1
-2,-2,6,10,0,0,-3,0,-2,-2,1
7,10,3,6,0,0,4,0,-8,3,1
-3,1,4,2,5,7,0,0,-2,1,1
11,11,7,7,0,0,4,0,-38,0,1
-8,-6,2,1,6,8,0,0,4,0,1
5,7,-2,4,0,0,0,-1,24,-1,1
9,11,7,10,0,0,0,0,-64,-1,1
7,11,4,3,0,0,0,0,-7,2,1
1,2,11,15,0,0,5,0,-18,-3,1
3,4,12,15,0,0,0,0,-45,-1,1
3,5,2,1,0,0,6,0,-16,1,1
1,2,-2,-4,2,2,3,0,-7,0,1
2,6,-3,-4,-2,4,6,0,-8,4,1
2,3,7,9,0,0,0,0,49,-4,1
1,5,6,8,0,0,0,0,-115,1,1
-1,1,1,3,0,0,0,0,-17,-1,1
6,7,3,5,0,0,4,0,-40,0,1
6,9,10,14,0,0,1,0,-4,1,1
-6,-9,2,1,1,2,-5,0,3,0,1
11,14,7,9,0,0,3,0,1,-3,1
13,14,11,13,0,0,2,0,2,-2,1
1,1,8,8,0,0,0,0,-27,-2,1
5,5,-6,-6,6,10,3,0,13,1,1
5,5,11,10,0,0,0,0,-12,2,1
5,7,1,5,0,0,0,0,-26,0,1
-4,-4,-1,3,0,0,0,0,-27,1,1
-2,2,1,3,0,0,5,0,-5,-5,1
6,9,-2,1,0,0,0,0,-40,2,1
-6,-6,5,7,3,-2,0,0,22,1,1
1,-1,-2,2,3,4,0,0,12,2,1
7,10,6,9,0,0,0,0,-61,1,1
5,2,8,7,4,5,0,0,-5,0,1
-8,-6,2,4,2,5,2,0,-10,1,1
1,2,9,10,5,8,3,0,-7,-1,1
7,8,-2,2,0,0,-1,0,-16,-2,1
5,6,7,11,0,0,-1,0,-2,-1,1
3,7,2,1,0,0,8,0,-6,1,1
10,8,4,5,0,0,0,0,-66,0,1
5,8,5,7,0,0,2,0,-27,-1,1
1,2,1,3,0,0,0,0,-55,0,1
4,6,5,2,0,0,3,0,-9,0,1
4,7,-1,-4,5,9,-2,0,-3,-1,1
-2,-1,-8,-10,4,6,1,0,-8,0,1
10,8,4,5,0,0,0,0,-48,1,1
1,-1,-11,-9,1,1,-2,0,25,0,1
13,15,6,6,0,0,0,0,-107,5,1
2,2,-6,-8,5,4,-2,0,26,-1,1
3,5,8,9,0,0,0,0,-85,-3,1
-3,2,-9,-8,6,5,2,0,5,-5,1
-1,-1,4,5,5,5,0,0,34,3,1
1,4,9,11,0,0,0,0,-32,2,1
10,10,12,14,0,0,2,0,-33,-2,1
2,3,5,5,0,0,-5,0,6,-1,1
2,5,-5,-5,6,6,-4,0,9,0,1
2,2,6,7,0,0,-4,0,10,-4,1
5,8,8,8,0,0,0,0,-26,2,1
6,6,1,1,0,0,3,0,-19,-1,1
-4,-2,4,6,6,8,2,0,-10,-2,1
4,5,-1,-1,0,0,0,0,-23,0,1
6,7,3,3,0,0,-1,0,-8,0,1
7,8,-2,-3,4,6,-3,0,-24,0,1
3,4,8,5,9,9,9,0,-7,0,1
3,5,1,4,0,0,0,-1,-1392,2,1
3,6,7,8,0,0,2,0,-34,-1,1
3,3,1,3,0,0,0,0,-6,1,1
-3,-1,-7,-8,-1,-2,0,0,-86,-3,1
1,2,-3,-2,3,3,0,0,17,-3,1
4,2,7,8,0,0,0,0,-63,0,1
-6,-9,5,2,8,3,0,0,12,0,1
-15,4,3,6,0,0,0,0,-49,3,1
6,9,3,6,0,0,2,0,-34,1,1
9,11,-4,-3,1,2,6,0,-19,4,1
8,6,7,10,0,0,4,0,-14,3,1
6,10,9,13,0,0,-2,0,-23,2,1
3,-1,2,2,0,0,3,0,-15,2,1
5,7,4,3,0,0,4,0,-6,0,1
8,9,-3,-3,4,5,4,0,-1,1,1
5,8,6,8,0,0,0,0,-14,-1,1
6,7,1,3,0,0,1,0,-12,0,1
11,14,3,5,0,0,2,0,-32,0,1
9,12,-2,1,0,0,2,0,-33,-2,1
-1,2,-3,1,0,0,3,0,-3,-1,1
9,10,4,1,0,0,0,0,-22,2,1
9,8,6,6,0,0,2,0,-29,-1,1
4,6,-6,-6,7,11,0,0,-38,2,1
-5,-5,6,6,6,10,2,0,-18,1,1
-2,-1,6,4,7,4,2,0,-5,0,1
8,10,5,6,0,0,0,0,-9,0,1
7,10,2,2,0,0,2,0,-15,1,1
4,6,7,11,0,0,0,0,-30,0,1
6,6,6,7,0,0,0,0,-42,2,1
-1,2,5,4,0,0,1,0,-3,-2,1
-2,1,1,1,0,0,-5,0,3,1,1
1,2,6,9,0,0,1,0,4,-4,1
3,6,-1,-1,7,11,6,0,-23,3,1
11,15,10,14,0,0,0,0,-23,1,1
4,3,1,4,0,0,0,0,-35,-1,1
7,5,5,5,0,0,0,0,-19,0,1
-2,-3,2,3,0,0,2,0,-11,0,1
2,5,-5,-9,7,11,1,0,-8,4,1
-3,1,-3,2,1,1,-3,0,4,2,1
3,4,-9,-7,8,10,0,0,-22,-1,1
5,7,4,7,0,0,0,0,-11,0,1
5,7,2,3,0,0,0,0,-10,-2,1
8,10,5,9,0,0,4,0,-33,1,1
4,7,5,8,0,0,8,0,-10,2,1
8,10,6,9,0,0,0,0,-62,-1,1
-5,-7,3,5,-2,1,0,0,43,0,1
1,1,2,3,0,0,0,0,-81,3,1
1,3,2,2,0,0,2,0,-8,3,1
7,5,6,8,0,0,0,0,-15,-2,1
2,3,7,11,0,0,0,0,-31,2,1
7,5,4,4,0,0,-2,0,-7,0,1
8,12,6,8,0,0,8,0,-18,1,1
7,6,4,6,0,0,-2,0,-10,-1,1
9,10,-6,-10,2,3,4,0,-4,-2,1
7,8,2,2,0,0,-1,0,-5,-3,1
6,9,-2,-2,6,9,0,0,-18,2,1
1,2,6,9,0,0,4,0,-9,1,1
9,4,6,10,0,0,2,0,-6,0,1
7,9,8,5,0,0,5,0,-2,-2,1
9,11,6,8,0,0,5,0,-3,-1,1
4,5,-2,2,0,0,2,-1,-67,-1,1
9,12,3,4,0,0,0,0,-72,1,1
10,12,9,12,0,0,0,0,8,0,1
4,4,5,7,0,0,-2,0,-31,2,1
5,7,11,14,0,0,0,0,-8,2,1
9,11,8,10,0,0,0,0,6,0,1
9,10,5,8,0,0,-2,0,-45,0,1
5,5,4,4,0,0,0,0,-31,0,1
5,7,-3,-5,8,5,1,0,-14,3,1
6,7,9,8,0,0,3,0,-8,2,1
-10,-5,5,8,5,9,-3,0,-2,4,1
-2,1,4,6,0,0,0,0,-18,1,1
8,8,5,8,0,0,0,0,-3,-3,1
7,9,12,12,0,0,0,0,-44,2,1
5,6,3,-2,4,5,2,0,-31,-4,1
-2,-4,6,7,4,6,1,0,-16,0,1
6,3,3,6,0,0,0,0,5,4,1
4,6,2,5,0,0,0,0,-36,0,1
2,-3,1,-2,6,5,-4,0,9,-1,1
5,6,7,9,0,0,2,0,-11,1,1
5,-1,5,3,0,0,0,0,9,-1,1
5,6,-4,-2,11,12,2,0,16,0,1
3,1,8,11,0,0,0,0,2,-2,1
8,6,7,10,0,0,0,0,-58,0,1
4,4,-2,-1,0,0,2,0,-14,-3,1
10,8,9,11,0,0,0,0,-22,2,1
2,4,10,12,0,0,3,0,-10,3,1
9,10,13,14,0,0,4,0,-18,2,1
2,3,3,6,0,0,-2,0,2,-2,1
5,4,2,6,0,0,0,0,-15,-1,1
3,6,11,11,0,0,0,0,-69,2,1
7,9,5,4,0,0,-1,0,-21,1,1
4,8,9,8,0,0,3,0,1,2,1
-8,-10,1,3,4,3,0,0,-16,-2,1
5,6,2,3,-3,2,0,0,-26,1,1
6,8,-8,-12,7,8,0,0,36,-3,1
7,9,12,12,0,0,0,0,-57,1,1
11,14,6,6,0,0,0,0,-16,5,1
7,11,2,2,0,0,0,0,-14,4,1
4,3,-2,2,0,0,4,0,-7,2,1
2,4,-7,1,0,0,0,-1,-40,-1,1
8,9,10,13,0,0,0,-1,-979,5,1
12,15,7,6,0,0,0,-1,-782,0,1
5,9,7,9,0,0,0,-1,-529,5,1
-2,-3,-3,-5,0,0,0,0,107,1,0
8,10,7,8,0,0,0,0,-139,1,1
8,10,1,2,0,0,2,0,12,1,1
-3,-2,11,11,0,0,5,0,-21,-3,1
3,5,5,6,0,0,2,0,-14,-3,1
11,9,8,10,0,0,0,0,-7,1,1
8,6,5,6,0,0,0,-1,-330,2,1
7,8,2,5,0,0,0,-1,-343,0,1
11,13,11,13,0,0,0,-1,-957,0,1
9,10,11,12,0,0,0,-1,-510,0,1
-4,-3,2,5,11,11,0,-1,-53,1,1
3,5,5,9,0,0,0,-1,-904,2,1
-2,1,2,-1,0,0,0,-1,-758,1,0
9,9,-8,-12,-4,-8,0,0,-122,0,0
3,7,9,9,0,0,7,0,-11,3,1
1,-2,-1,-2,0,0,0,0,15,-1,0
13,15,5,9,0,0,9,0,-6,5,1
